(Remote IP: 198.235.24.129, Remote port: 63060, Own port: 3389, ConnectionDuration: 3.12954592705 seconds),
(Remote IP: 206.168.34.118, Remote port: 41400, Own port: 80, ConnectionDuration: 0.0664360523224 seconds),
(Remote IP: 206.168.34.118, Remote port: 56916, Own port: 80, ConnectionDuration: 0.102270841599 seconds),
(Remote IP: 206.168.34.118, Remote port: 56916, Own port: 80, ConnectionDuration: 0.102751970291 seconds),
(Remote IP: 206.168.34.118, Remote port: 49590, Own port: 80, ConnectionDuration: 0.290100097656 seconds),
(Remote IP: 167.94.138.58, Remote port: 37798, Own port: 8080, ConnectionDuration: 0.961755037308 seconds),
(Remote IP: 185.242.226.10, Remote port: 47822, Own port: 80, ConnectionDuration: 3.54633593559 seconds),
(Remote IP: 167.99.158.209, Remote port: 33092, Own port: 3128, ConnectionDuration: 1.51085305214 seconds),
(Remote IP: 64.62.197.188, Remote port: 19175, Own port: 21, ConnectionDuration: 0.0753631591797 seconds),
(Remote IP: 185.16.38.111, Remote port: 56016, Own port: 80, ConnectionDuration: 20.0001749992 seconds),
(Remote IP: 110.182.215.137, Remote port: 47393, Own port: 23, ConnectionDuration: 10.508038044 seconds),
(Remote IP: 35.240.50.242, Remote port: 49946, Own port: 445, ConnectionDuration: 0.126705169678 seconds),
(Remote IP: 35.240.50.242, Remote port: 49942, Own port: 445, ConnectionDuration: 0.680665969849 seconds),
(Remote IP: 23.94.247.41, Remote port: 49455, Own port: 80, ConnectionDuration: 2.38117980957 seconds),
(Remote IP: 23.94.247.41, Remote port: 49998, Own port: 80, ConnectionDuration: 1.1722509861 seconds),
(Remote IP: 23.94.247.41, Remote port: 50229, Own port: 80, ConnectionDuration: 1.07558703423 seconds),
(Remote IP: 23.94.247.41, Remote port: 50609, Own port: 80, ConnectionDuration: 0.494125843048 seconds),
(Remote IP: 23.94.247.41, Remote port: 50789, Own port: 80, ConnectionDuration: 1.01353907585 seconds),
(Remote IP: 23.94.247.41, Remote port: 51224, Own port: 80, ConnectionDuration: 1.70363521576 seconds),
(Remote IP: 23.94.247.41, Remote port: 51829, Own port: 80, ConnectionDuration: 0.505266904831 seconds),
(Remote IP: 23.94.247.41, Remote port: 52401, Own port: 80, ConnectionDuration: 1.06682920456 seconds),
(Remote IP: 23.94.247.41, Remote port: 52805, Own port: 80, ConnectionDuration: 0.52968287468 seconds),
(Remote IP: 23.94.247.41, Remote port: 53128, Own port: 80, ConnectionDuration: 0.914113998413 seconds),
(Remote IP: 23.94.247.41, Remote port: 53288, Own port: 80, ConnectionDuration: 0.418135881424 seconds),
(Remote IP: 23.94.247.41, Remote port: 53434, Own port: 80, ConnectionDuration: 0.698884963989 seconds),
(Remote IP: 23.94.247.41, Remote port: 53838, Own port: 80, ConnectionDuration: 0.669265031815 seconds),
(Remote IP: 23.94.247.41, Remote port: 54035, Own port: 80, ConnectionDuration: 0.486881017685 seconds),
(Remote IP: 23.94.247.41, Remote port: 54468, Own port: 80, ConnectionDuration: 0.313780069351 seconds),
(Remote IP: 23.94.247.41, Remote port: 54682, Own port: 80, ConnectionDuration: 0.4885160923 seconds),
(Remote IP: 23.94.247.41, Remote port: 54793, Own port: 80, ConnectionDuration: 0.205164194107 seconds),
(Remote IP: 23.94.247.41, Remote port: 54859, Own port: 80, ConnectionDuration: 5.99041295052 seconds),
(Remote IP: 23.94.247.41, Remote port: 55980, Own port: 80, ConnectionDuration: 0.585108041763 seconds),
(Remote IP: 23.94.247.41, Remote port: 56106, Own port: 80, ConnectionDuration: 0.223326921463 seconds),
(Remote IP: 23.94.247.41, Remote port: 56216, Own port: 80, ConnectionDuration: 0.590383052826 seconds),
(Remote IP: 23.94.247.41, Remote port: 56441, Own port: 80, ConnectionDuration: 0.214078903198 seconds),
(Remote IP: 23.94.247.41, Remote port: 56547, Own port: 80, ConnectionDuration: 0.393632888794 seconds),
(Remote IP: 23.94.247.41, Remote port: 56744, Own port: 80, ConnectionDuration: 0.308125972748 seconds),
(Remote IP: 23.94.247.41, Remote port: 56902, Own port: 80, ConnectionDuration: 0.612966060638 seconds),
(Remote IP: 23.94.247.41, Remote port: 57096, Own port: 80, ConnectionDuration: 0.501003980637 seconds),
(Remote IP: 23.94.247.41, Remote port: 57368, Own port: 80, ConnectionDuration: 0.400090932846 seconds),
(Remote IP: 23.94.247.41, Remote port: 57556, Own port: 80, ConnectionDuration: 0.31084394455 seconds),
(Remote IP: 23.94.247.41, Remote port: 57811, Own port: 80, ConnectionDuration: 0.207938909531 seconds),
(Remote IP: 23.94.247.41, Remote port: 57922, Own port: 80, ConnectionDuration: 0.505890846252 seconds),
(Remote IP: 23.94.247.41, Remote port: 58242, Own port: 80, ConnectionDuration: 0.479267835617 seconds),
(Remote IP: 23.94.247.41, Remote port: 58491, Own port: 80, ConnectionDuration: 1.18367195129 seconds),
(Remote IP: 23.94.247.41, Remote port: 58771, Own port: 80, ConnectionDuration: 0.313187122345 seconds),
(Remote IP: 23.94.247.41, Remote port: 58966, Own port: 80, ConnectionDuration: 0.309181928635 seconds),
(Remote IP: 23.94.247.41, Remote port: 59381, Own port: 80, ConnectionDuration: 0.40089392662 seconds),
(Remote IP: 23.94.247.41, Remote port: 59476, Own port: 80, ConnectionDuration: 0.318097114563 seconds),
(Remote IP: 23.94.247.41, Remote port: 59638, Own port: 80, ConnectionDuration: 0.606135129929 seconds),
(Remote IP: 23.94.247.41, Remote port: 59859, Own port: 80, ConnectionDuration: 0.316780090332 seconds),
(Remote IP: 23.94.247.41, Remote port: 60206, Own port: 80, ConnectionDuration: 0.511957883835 seconds),
(Remote IP: 23.94.247.41, Remote port: 60359, Own port: 80, ConnectionDuration: 0.221504926682 seconds),
(Remote IP: 23.94.247.41, Remote port: 60528, Own port: 80, ConnectionDuration: 0.821520090103 seconds),
(Remote IP: 23.94.247.41, Remote port: 60731, Own port: 80, ConnectionDuration: 0.295615911484 seconds),
(Remote IP: 23.94.247.41, Remote port: 60942, Own port: 80, ConnectionDuration: 0.582973957062 seconds),
(Remote IP: 23.94.247.41, Remote port: 61192, Own port: 80, ConnectionDuration: 0.305809020996 seconds),
(Remote IP: 23.94.247.41, Remote port: 61239, Own port: 80, ConnectionDuration: 0.424580812454 seconds),
(Remote IP: 23.94.247.41, Remote port: 61328, Own port: 80, ConnectionDuration: 0.442467927933 seconds),
(Remote IP: 23.94.247.41, Remote port: 61804, Own port: 80, ConnectionDuration: 0.410300016403 seconds),
(Remote IP: 23.94.247.41, Remote port: 61975, Own port: 80, ConnectionDuration: 0.112838029861 seconds),
(Remote IP: 23.94.247.41, Remote port: 62060, Own port: 80, ConnectionDuration: 0.907721996307 seconds),
(Remote IP: 23.94.247.41, Remote port: 62167, Own port: 80, ConnectionDuration: 0.189929008484 seconds),
(Remote IP: 23.94.247.41, Remote port: 62507, Own port: 80, ConnectionDuration: 0.417611837387 seconds),
(Remote IP: 23.94.247.41, Remote port: 62599, Own port: 80, ConnectionDuration: 0.199509859085 seconds),
(Remote IP: 23.94.247.41, Remote port: 62741, Own port: 80, ConnectionDuration: 0.40970492363 seconds),
(Remote IP: 23.94.247.41, Remote port: 62988, Own port: 80, ConnectionDuration: 0.236461162567 seconds),
(Remote IP: 23.94.247.41, Remote port: 63313, Own port: 80, ConnectionDuration: 0.308608055115 seconds),
(Remote IP: 23.94.247.41, Remote port: 63435, Own port: 80, ConnectionDuration: 0.4333319664 seconds),
(Remote IP: 23.94.247.41, Remote port: 63547, Own port: 80, ConnectionDuration: 0.317583084106 seconds),
(Remote IP: 23.94.247.41, Remote port: 63689, Own port: 80, ConnectionDuration: 0.202646970749 seconds),
(Remote IP: 23.94.247.41, Remote port: 64070, Own port: 80, ConnectionDuration: 0.472733974457 seconds),
(Remote IP: 23.94.247.41, Remote port: 64290, Own port: 80, ConnectionDuration: 0.204287052155 seconds),
(Remote IP: 23.94.247.41, Remote port: 64348, Own port: 80, ConnectionDuration: 0.209115982056 seconds),
(Remote IP: 23.94.247.41, Remote port: 64625, Own port: 80, ConnectionDuration: 0.297055959702 seconds),
(Remote IP: 23.94.247.41, Remote port: 64974, Own port: 80, ConnectionDuration: 0.417017936707 seconds),
(Remote IP: 23.94.247.41, Remote port: 65176, Own port: 80, ConnectionDuration: 0.736138105392 seconds),
(Remote IP: 23.94.247.41, Remote port: 49289, Own port: 80, ConnectionDuration: 0.10791015625 seconds),
(Remote IP: 23.94.247.41, Remote port: 49377, Own port: 80, ConnectionDuration: 0.367557048798 seconds),
(Remote IP: 23.94.247.41, Remote port: 49697, Own port: 80, ConnectionDuration: 0.492477178574 seconds),
(Remote IP: 23.94.247.41, Remote port: 49838, Own port: 80, ConnectionDuration: 0.489799976349 seconds),
(Remote IP: 23.94.247.41, Remote port: 49987, Own port: 80, ConnectionDuration: 0.210191011429 seconds),
(Remote IP: 23.94.247.41, Remote port: 50106, Own port: 80, ConnectionDuration: 0.107038974762 seconds),
(Remote IP: 23.94.247.41, Remote port: 50203, Own port: 80, ConnectionDuration: 0.710464954376 seconds),
(Remote IP: 23.94.247.41, Remote port: 50430, Own port: 80, ConnectionDuration: 0.280241012573 seconds),
(Remote IP: 23.94.247.41, Remote port: 50542, Own port: 80, ConnectionDuration: 0.323915958405 seconds),
(Remote IP: 23.94.247.41, Remote port: 50667, Own port: 80, ConnectionDuration: 0.302160978317 seconds),
(Remote IP: 23.94.247.41, Remote port: 50807, Own port: 80, ConnectionDuration: 0.373141050339 seconds),
(Remote IP: 23.94.247.41, Remote port: 50941, Own port: 80, ConnectionDuration: 0.310254096985 seconds),
(Remote IP: 23.94.247.41, Remote port: 51155, Own port: 80, ConnectionDuration: 0.220247030258 seconds),
(Remote IP: 23.94.247.41, Remote port: 51253, Own port: 80, ConnectionDuration: 0.228351831436 seconds),
(Remote IP: 23.94.247.41, Remote port: 52862, Own port: 80, ConnectionDuration: 0.486596107483 seconds),
(Remote IP: 23.94.247.41, Remote port: 53089, Own port: 80, ConnectionDuration: 0.517266988754 seconds),
(Remote IP: 23.94.247.41, Remote port: 53431, Own port: 80, ConnectionDuration: 0.488270044327 seconds),
(Remote IP: 23.94.247.41, Remote port: 53995, Own port: 80, ConnectionDuration: 0.373516082764 seconds),
(Remote IP: 23.94.247.41, Remote port: 54160, Own port: 80, ConnectionDuration: 0.498251914978 seconds),
(Remote IP: 23.94.247.41, Remote port: 54273, Own port: 80, ConnectionDuration: 0.407292842865 seconds),
(Remote IP: 23.94.247.41, Remote port: 54529, Own port: 80, ConnectionDuration: 0.406939983368 seconds),
(Remote IP: 23.94.247.41, Remote port: 54790, Own port: 80, ConnectionDuration: 0.393337965012 seconds),
(Remote IP: 23.94.247.41, Remote port: 55061, Own port: 80, ConnectionDuration: 0.281226158142 seconds),
(Remote IP: 23.94.247.41, Remote port: 55459, Own port: 80, ConnectionDuration: 0.498824834824 seconds),
(Remote IP: 23.94.247.41, Remote port: 55608, Own port: 80, ConnectionDuration: 0.376216888428 seconds),
(Remote IP: 23.94.247.41, Remote port: 55761, Own port: 80, ConnectionDuration: 0.607704877853 seconds),
(Remote IP: 23.94.247.41, Remote port: 56100, Own port: 80, ConnectionDuration: 0.306507110596 seconds),
(Remote IP: 23.94.247.41, Remote port: 56271, Own port: 80, ConnectionDuration: 0.791868925095 seconds),
(Remote IP: 23.94.247.41, Remote port: 56429, Own port: 80, ConnectionDuration: 0.714343070984 seconds),
(Remote IP: 23.94.247.41, Remote port: 56772, Own port: 80, ConnectionDuration: 0.2914249897 seconds),
(Remote IP: 23.94.247.41, Remote port: 57285, Own port: 80, ConnectionDuration: 0.600577831268 seconds),
(Remote IP: 23.94.247.41, Remote port: 57555, Own port: 80, ConnectionDuration: 0.39391207695 seconds),
(Remote IP: 23.94.247.41, Remote port: 57708, Own port: 80, ConnectionDuration: 0.396039962769 seconds),
(Remote IP: 23.94.247.41, Remote port: 57815, Own port: 80, ConnectionDuration: 0.417684078217 seconds),
(Remote IP: 23.94.247.41, Remote port: 58086, Own port: 80, ConnectionDuration: 0.198918104172 seconds),
(Remote IP: 23.94.247.41, Remote port: 58181, Own port: 80, ConnectionDuration: 1.06859111786 seconds),
(Remote IP: 23.94.247.41, Remote port: 58824, Own port: 80, ConnectionDuration: 0.288016080856 seconds),
(Remote IP: 23.94.247.41, Remote port: 58919, Own port: 80, ConnectionDuration: 0.275407075882 seconds),
(Remote IP: 23.94.247.41, Remote port: 59301, Own port: 80, ConnectionDuration: 0.212598085403 seconds),
(Remote IP: 23.94.247.41, Remote port: 59438, Own port: 80, ConnectionDuration: 0.318342924118 seconds),
(Remote IP: 23.94.247.41, Remote port: 59715, Own port: 80, ConnectionDuration: 0.588680028915 seconds),
(Remote IP: 23.94.247.41, Remote port: 59987, Own port: 80, ConnectionDuration: 0.375973939896 seconds),
(Remote IP: 23.94.247.41, Remote port: 60435, Own port: 80, ConnectionDuration: 0.287427902222 seconds),
(Remote IP: 23.94.247.41, Remote port: 60566, Own port: 80, ConnectionDuration: 0.40887093544 seconds),
(Remote IP: 23.94.247.41, Remote port: 60827, Own port: 80, ConnectionDuration: 0.395537853241 seconds),
(Remote IP: 23.94.247.41, Remote port: 61016, Own port: 80, ConnectionDuration: 0.401733160019 seconds),
(Remote IP: 23.94.247.41, Remote port: 61271, Own port: 80, ConnectionDuration: 0.28040099144 seconds),
(Remote IP: 23.94.247.41, Remote port: 61466, Own port: 80, ConnectionDuration: 1.39631104469 seconds),
(Remote IP: 23.94.247.41, Remote port: 62098, Own port: 80, ConnectionDuration: 0.40597987175 seconds),
(Remote IP: 23.94.247.41, Remote port: 62236, Own port: 80, ConnectionDuration: 0.398018121719 seconds),
(Remote IP: 23.94.247.41, Remote port: 62601, Own port: 80, ConnectionDuration: 0.486381053925 seconds),
(Remote IP: 23.94.247.41, Remote port: 62725, Own port: 80, ConnectionDuration: 0.316540956497 seconds),
(Remote IP: 23.94.247.41, Remote port: 62873, Own port: 80, ConnectionDuration: 0.775661945343 seconds),
(Remote IP: 23.94.247.41, Remote port: 63208, Own port: 80, ConnectionDuration: 0.407026052475 seconds),
(Remote IP: 23.94.247.41, Remote port: 63543, Own port: 80, ConnectionDuration: 1.3049530983 seconds),
(Remote IP: 23.94.247.41, Remote port: 64010, Own port: 80, ConnectionDuration: 0.626286029816 seconds),
(Remote IP: 23.94.247.41, Remote port: 64244, Own port: 80, ConnectionDuration: 0.273512125015 seconds),
(Remote IP: 23.94.247.41, Remote port: 64311, Own port: 80, ConnectionDuration: 0.313524007797 seconds),
(Remote IP: 23.94.247.41, Remote port: 64645, Own port: 80, ConnectionDuration: 2.16948199272 seconds),
(Remote IP: 23.94.247.41, Remote port: 65388, Own port: 80, ConnectionDuration: 0.516217947006 seconds),
(Remote IP: 23.94.247.41, Remote port: 49167, Own port: 80, ConnectionDuration: 0.528850078583 seconds),
(Remote IP: 23.94.247.41, Remote port: 49460, Own port: 80, ConnectionDuration: 0.330767869949 seconds),
(Remote IP: 23.94.247.41, Remote port: 49715, Own port: 80, ConnectionDuration: 0.581757068634 seconds),
(Remote IP: 23.94.247.41, Remote port: 50005, Own port: 80, ConnectionDuration: 0.209124088287 seconds),
(Remote IP: 23.94.247.41, Remote port: 50239, Own port: 80, ConnectionDuration: 0.705986022949 seconds),
(Remote IP: 23.94.247.41, Remote port: 50639, Own port: 80, ConnectionDuration: 0.714825868607 seconds),
(Remote IP: 23.94.247.41, Remote port: 50979, Own port: 80, ConnectionDuration: 0.597362995148 seconds),
(Remote IP: 23.94.247.41, Remote port: 51300, Own port: 80, ConnectionDuration: 0.285650014877 seconds),
(Remote IP: 23.94.247.41, Remote port: 51545, Own port: 80, ConnectionDuration: 0.50123500824 seconds),
(Remote IP: 23.94.247.41, Remote port: 51717, Own port: 80, ConnectionDuration: 1.10504293442 seconds),
(Remote IP: 23.94.247.41, Remote port: 52939, Own port: 80, ConnectionDuration: 0.528734207153 seconds),
(Remote IP: 23.94.247.41, Remote port: 53167, Own port: 80, ConnectionDuration: 0.594853878021 seconds),
(Remote IP: 23.94.247.41, Remote port: 53523, Own port: 80, ConnectionDuration: 0.104380130768 seconds),
(Remote IP: 23.94.247.41, Remote port: 53590, Own port: 80, ConnectionDuration: 0.220622062683 seconds),
(Remote IP: 23.94.247.41, Remote port: 53969, Own port: 80, ConnectionDuration: 0.289052009583 seconds),
(Remote IP: 23.94.247.41, Remote port: 54554, Own port: 80, ConnectionDuration: 0.403901815414 seconds),
(Remote IP: 23.94.247.41, Remote port: 54697, Own port: 80, ConnectionDuration: 0.69583106041 seconds),
(Remote IP: 23.94.247.41, Remote port: 55033, Own port: 80, ConnectionDuration: 0.485629081726 seconds),
(Remote IP: 23.94.247.41, Remote port: 55392, Own port: 80, ConnectionDuration: 0.610436201096 seconds),
(Remote IP: 23.94.247.41, Remote port: 55726, Own port: 80, ConnectionDuration: 0.58406996727 seconds),
(Remote IP: 23.94.247.41, Remote port: 55882, Own port: 80, ConnectionDuration: 0.590734958649 seconds),
(Remote IP: 23.94.247.41, Remote port: 56348, Own port: 80, ConnectionDuration: 0.298352003098 seconds),
(Remote IP: 23.94.247.41, Remote port: 56529, Own port: 80, ConnectionDuration: 0.433074951172 seconds),
(Remote IP: 23.94.247.41, Remote port: 56719, Own port: 80, ConnectionDuration: 0.629615068436 seconds),
(Remote IP: 23.94.247.41, Remote port: 57161, Own port: 80, ConnectionDuration: 0.400028944016 seconds),
(Remote IP: 23.94.247.41, Remote port: 57300, Own port: 80, ConnectionDuration: 0.772324085236 seconds),
(Remote IP: 23.94.247.41, Remote port: 57674, Own port: 80, ConnectionDuration: 0.719499111176 seconds),
(Remote IP: 23.94.247.41, Remote port: 58074, Own port: 80, ConnectionDuration: 0.487653970718 seconds),
(Remote IP: 23.94.247.41, Remote port: 58330, Own port: 80, ConnectionDuration: 0.530771017075 seconds),
(Remote IP: 23.94.247.41, Remote port: 58596, Own port: 80, ConnectionDuration: 0.999359130859 seconds),
(Remote IP: 23.94.247.41, Remote port: 59110, Own port: 80, ConnectionDuration: 0.889178991318 seconds),
(Remote IP: 23.94.247.41, Remote port: 59688, Own port: 80, ConnectionDuration: 0.400501012802 seconds),
(Remote IP: 23.94.247.41, Remote port: 59908, Own port: 80, ConnectionDuration: 0.494303941727 seconds),
(Remote IP: 23.94.247.41, Remote port: 60185, Own port: 80, ConnectionDuration: 0.674535989761 seconds),
